commit	val_bpb	memory_gb	status	description
55de946	0.781821	10.0	keep	baseline
fc6cc88	0.787843	10.0	discard	LR 1e-5 (too high)
a4ee328	0.780683	10.0	keep	batch size 2K (2 grad accum)
51325f7	0.780652	10.0	discard	batch size 4K (marginal gain not worth complexity)
cd8b846	0.781152	10.0	discard	warmup ratio 0.1 (worse than 0.3)
2acb5a5	0.782131	10.0	discard	cooldown ratio 0.3 (worse than 0.5)
a021337	0.779466	10.0	keep	cooldown ratio 0.7 (better than 0.5)
0997f17	0.779464	10.0	discard	weight decay 0.01 (same as 0.1)
ff212f3	0.780420	10.0	discard	LR 8e-6 (worse than 7e-6)
5741d20	0.000000	0.0	crash	disable grad checkpointing (stuck/OOM at load)
3e2cc48	0.780191	10.0	discard	cosine LR schedule (worse than linear)
3d00784	0.779249	9.0	keep	freeze embeddings + lm_head (less memory too)
7565f80	0.784405	9.0	discard	freeze first 6 layers too (too aggressive)
3d2c937	0.778450	9.0	keep	LR 6e-6 (better with frozen embeddings)
dbbf93a	0.778061	9.0	keep	LR 5e-6 (continuing downward trend)
83cfb0c	0.777904	9.0	keep	LR 4e-6 (still improving)
261692b	0.778295	9.0	discard	LR 3e-6 (too low)
0a3d6e0	0.777814	9.0	keep	warmup 0.2 (10% time at peak LR)
